NO_OF_FRAMES	24000
NO_OF_CAMERAS	18
NO_OF_MARKERS	1
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-11, 09:16:52.722	2649.02526600
DATA_INCLUDED	3D
MARKER_NAMES	marker
TRAJECTORY_TYPES	Measured
Frame	Time	marker X	marker Y	marker Z	
630	3.14500	3269.978	429.409	555.009
631	3.15000	3265.611	429.750	554.722
632	3.15500	3261.189	430.193	554.397
633	3.16000	3256.577	430.700	553.989
634	3.16500	3251.916	431.295	553.564
635	3.17000	3247.081	431.949	553.034
636	3.17500	3242.158	432.669	552.475
637	3.18000	3237.088	433.449	551.889
638	3.18500	3231.844	434.320	551.278
639	3.19000	3226.430	435.263	550.727
640	3.19500	3220.826	436.279	550.193
641	3.20000	3215.020	437.389	549.697
642	3.20500	3209.049	438.594	549.296
643	3.21000	3202.887	439.873	548.929
644	3.21500	3196.546	441.257	548.652
645	3.22000	3190.067	442.717	548.435
646	3.22500	3183.428	444.295	548.341
647	3.23000	3176.701	445.953	548.286
648	3.23500	3169.868	447.722	548.339
649	3.24000	3162.920	449.522	548.470
650	3.24500	3155.937	451.398	548.726
651	3.25000	3148.889	453.378	549.065
652	3.25500	3141.802	455.372	549.458
653	3.26000	3134.705	457.391	549.918
654	3.26500	3127.533	459.472	550.427
655	3.27000	3120.285	461.636	550.989
656	3.27500	3112.980	463.861	551.560
657	3.28000	3105.545	466.124	552.107
658	3.28500	3098.003	468.426	552.701
659	3.29000	3090.351	470.809	553.256
660	3.29500	3082.537	473.283	553.781
661	3.30000	3074.585	475.775	554.213
662	3.30500	3066.491	478.366	554.613
663	3.31000	3058.273	481.036	554.992
664	3.31500	3049.970	483.752	555.220
665	3.32000	3041.577	486.545	555.459
666	3.32500	3033.142	489.366	555.636
667	3.33000	3024.612	492.194	555.778
668	3.33500	3016.041	495.077	555.904
669	3.34000	3007.351	497.953	555.966
